1,4,217,549,99,98,1,1,1
1,7,486,175,115,108,1,1,1
1,5,463,439,117,96,1,1,1
1,2,224,848,90,109,1,1,1
1,8,206,0,92,101,1,1,1
1,3,462,685,97,87,1,1,1
1,6,224,292,95,79,1,1,1
1,1,481,954,103,123,1,1,1
2,4,217,564,99,99,1,1,1
2,7,486,189,116,111,1,1,1
2,5,462,454,118,98,1,1,1
2,2,224,863,90,110,1,1,1
2,8,205,2,93,113,1,1,1
2,3,462,701,97,87,1,1,1
2,6,224,306,93,75,1,1,1
2,1,481,971,103,109,1,1,1
3,4,217,579,99,98,1,1,1
3,7,487,205,116,110,1,1,1
3,5,463,470,117,97,1,1,1
3,2,224,878,89,109,1,1,1
3,8,207,19,92,110,1,1,1
3,3,461,717,98,87,1,1,1
3,6,225,322,93,83,1,1,1
3,1,480,987,103,93,1,1,1
3,9,488,0,34,22,1,1,1
4,4,215,593,99,98,1,1,1
4,7,484,220,116,110,1,1,1
4,5,460,485,118,97,1,1,1
4,2,222,893,90,111,1,1,1
4,8,204,34,93,110,1,1,1
4,3,460,732,98,86,1,1,1
4,6,222,337,92,81,1,1,1
4,1,479,1003,103,77,1,1,1
4,9,460,0,61,38,1,1,1
5,4,212,607,100,97,1,1,1
5,7,481,232,116,110,1,1,1
5,5,457,497,119,97,1,1,1
5,2,221,906,90,108,1,1,1
5,8,200,47,94,111,1,1,1
5,3,458,744,98,86,1,1,1
5,6,219,351,94,76,1,1,1
5,1,479,1015,85,65,1,1,1
5,9,454,0,94,50,1,1,1
6,4,212,617,100,96,1,1,1
6,7,481,242,116,110,1,1,1
6,5,457,508,118,96,1,1,1
6,2,221,916,90,108,1,1,1
6,8,199,57,93,110,1,1,1
6,3,459,755,96,84,1,1,1
6,6,218,360,95,81,1,1,1
6,1,479,1024,81,56,1,1,1
6,9,454,0,99,60,1,1,1
7,4,213,623,100,94,1,1,1
7,7,483,248,117,110,1,1,1
7,5,459,513,118,96,1,1,1
7,2,222,920,89,110,1,1,1
